日期,城市,租用中用户数,渠道在租用户数,直客在租用户数,企业包在租用户数,寄存用户数,新增用户数,新增渠道用户数,新增直客用户数,新增企业包用户数,退租用户数,渠道退租用户数,直客退租用户数,企业包退租用户数,,,
2026-01-25,常州市,2180,754,1124,302,144,5,2,1,2,16,8,6,2,,,
2026-01-25,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-25,无锡市,846,393,414,39,103,8,4,4,0,5,3,2,0,,,
2026-01-25,杭州市,15,13,2,0,0,1,1,0,0,0,0,0,0,,,
2026-01-25,武汉市,2405,1449,929,27,177,13,13,0,0,30,25,4,1,,,
2026-01-25,温州市,1395,686,303,406,58,11,7,1,3,18,8,4,6,,,
2026-01-25,芜湖市,409,111,295,3,23,1,0,1,0,1,0,0,1,,,
2026-01-25,苏州市,8254,1942,4710,1602,552,30,25,5,0,91,44,26,21,,,
2026-01-25,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-25,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-25,青岛市,499,468,27,4,35,6,6,0,0,5,5,0,0,,,
2026-01-26,上海市,1,0,1,0,0,0,0,0,0,0,0,0,0,,,
2026-01-26,南京市,5130,1564,1967,1599,214,19,8,7,4,40,5,15,20,,,
2026-01-26,南通市,827,281,476,70,57,1,1,0,0,6,4,2,0,,,
2026-01-26,台州市,176,50,30,96,4,0,0,0,0,1,0,0,1,,,
2026-01-26,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-26,宁波市,3839,1578,1659,602,212,15,3,5,7,44,21,10,13,,,
2026-01-26,常州市,2171,745,1127,299,146,3,3,0,0,17,6,8,3,,,
2026-01-26,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-26,无锡市,852,399,413,40,104,11,11,0,0,7,5,1,1,,,
2026-01-26,杭州市,16,14,2,0,0,1,1,0,0,0,0,0,0,,,
2026-01-26,武汉市,2388,1431,930,27,180,7,6,1,0,36,32,4,0,,,
2026-01-26,温州市,1400,683,304,413,61,12,8,1,3,26,15,3,8,,,
2026-01-26,芜湖市,406,108,296,2,21,0,0,0,0,4,3,0,1,,,
2026-01-26,苏州市,8195,1924,4688,1583,563,20,12,6,2,86,37,25,24,,,
2026-01-26,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-26,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-26,青岛市,497,466,27,4,39,7,7,0,0,7,7,0,0,,,
2026-01-27,上海市,3,0,3,0,0,0,0,0,0,0,0,0,0,,,
2026-01-27,南京市,5121,1556,1974,1591,220,11,3,3,5,54,13,16,25,,,
2026-01-27,南通市,824,282,471,71,57,5,2,1,2,6,1,4,1,,,
2026-01-27,台州市,178,50,29,99,3,5,0,2,3,3,0,2,1,,,
2026-01-27,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-27,宁波市,3806,1564,1646,596,215,9,6,1,2,38,15,14,9,,,
2026-01-27,常州市,2173,747,1125,301,146,4,2,1,1,12,3,7,2,,,
2026-01-27,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-27,无锡市,848,396,412,40,104,3,2,1,0,9,7,1,1,,,
2026-01-27,杭州市,17,14,3,0,0,1,0,1,0,0,0,0,0,,,
2026-01-27,武汉市,2368,1419,922,27,191,15,14,1,0,32,22,10,0,,,
2026-01-27,温州市,1393,680,301,412,64,12,7,2,3,15,6,5,4,,,
2026-01-27,芜湖市,408,108,298,2,25,1,0,1,0,1,0,1,0,,,
2026-01-27,苏州市,8158,1924,4668,1566,565,23,18,3,2,84,23,39,22,,,
2026-01-27,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-27,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-27,青岛市,493,462,27,4,39,4,4,0,0,9,9,0,0,,,
2026-01-28,上海市,4,0,4,0,2,0,0,0,0,1,0,1,0,,,
2026-01-28,南京市,5079,1547,1955,1577,232,9,3,4,2,54,14,18,22,,,
2026-01-28,南通市,822,281,471,70,57,2,2,0,0,13,4,8,1,,,
2026-01-28,台州市,180,51,30,99,4,4,2,0,2,2,1,0,1,,,
2026-01-28,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-28,宁波市,3783,1556,1641,586,231,14,9,2,3,45,19,10,16,,,
2026-01-28,常州市,2167,746,1120,301,143,9,6,1,2,19,7,8,4,,,
2026-01-28,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-28,无锡市,845,395,411,39,107,6,5,1,0,9,6,1,2,,,
2026-01-28,杭州市,19,16,3,0,0,2,2,0,0,0,0,0,0,,,
2026-01-28,武汉市,2352,1404,921,27,198,17,17,0,0,36,32,4,0,,,
2026-01-28,温州市,1394,683,296,415,69,14,12,0,2,20,13,6,1,,,
2026-01-28,芜湖市,405,106,297,2,25,0,0,0,0,3,1,2,0,,,
2026-01-28,苏州市,8093,1912,4633,1548,571,30,22,5,3,108,37,48,23,,,
2026-01-28,鄂州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-28,金华市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-28,青岛市,488,457,27,4,40,4,4,0,0,9,9,0,0,,,
2026-01-29,上海市,3,0,3,0,2,0,0,0,0,0,0,0,0,,,
2026-01-29,南京市,5066,1545,1955,1566,246,18,11,6,1,53,18,13,22,,,
2026-01-29,南通市,816,279,470,67,56,0,0,0,0,6,4,1,1,,,
2026-01-29,台州市,177,48,31,98,4,3,0,1,2,3,2,0,1,,,
2026-01-29,合肥市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-29,宁波市,3750,1537,1635,578,237,13,7,2,4,56,23,17,16,,,
2026-01-29,常州市,2160,743,1121,296,147,7,5,1,1,15,6,5,4,,,
2026-01-29,徐州市,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2026-01-29,无锡市,838,392,411,35,105,5,5,0,0,12,6,4,2,,,
